Species,Putative Genotypes,4-Jan,2-Jan,threeQuarter,full,Unknown,Total,,,,,,,,,,,,
APAL,100,1281,861,507,943,903,4495,,,,,,,,,,,,
CNAT,20,0,0,0,78,53,131,,,,,,,,,,,,
DLAB,108,112,109,77,637,29,964,,,,,,,,,,,,
MCAV,28,330,450,294,208,54,1336,,,,,,,,,,,,
OFAV,112,2760,1820,1033,338,2810,8761,,,,,,,,,,,,
PCLI,14,180,647,127,33,6,993,,,,,DSTO,7,35,29,0,0,0,6
PSTR,30,336,81,192,256,78,943,,,,,FFRA,1,3,0,0,0,3,0
Other,677,2550,83,60,899,939,4531,,,,,OFFR,2,27,0,0,0,27,0
Totals,1089,7549,4051,2290,3392,4872,22154,,,,,OROB,2,15,0,8,0,0,7
,,,,,,,,,,,,PAST,57,1995,1143,0,31,543,278
,,,,,,,,,,,,PPOR,9,9,0,0,0,0,9
,,,,,,,,,,,,SBOU,2,21,0,0,0,20,1
,,,,,,,,,,,,SINT,148,1580,1235,6,0,188,151
,,,,,,,,,,,,SRAD,149,150,0,0,0,14,136
,,,,,,,,,,,,SSID,292,628,143,69,29,70,317
,,,,,,,,,,,,UK,8,68,0,0,0,34,34
,,,,,,,,,,,,,677,4531,2550,83,60,899,939
