id,species,genotype,site,subsystem,tank,rack,qty,size
,OF,OF1041,Mote Islamorada,,G16,R84,645,0.5
,MC,MC108,Mote Looe Key [In Situ],,,MC-108,199,0
,SS,SS463,Mote Looe Key [In Situ],,,SS-463,174,0
,PS,PS7,Mote Islamorada [In Situ],,,Red84,173,0
,PC,PC38,Mote Looe Key [In Situ],,,PC-38,169,0
,SS,SS160,Mote Looe Key [In Situ],,,SS MIX1,160,0
,PC,PC19,Mote Looe Key [In Situ],,,PC-19,157,0
,OF,OF971,Mote Looe Key [In Situ],,,OF971,135,0
,OA,OA9,Mote Looe Key [In Situ],,,OA-9,132,0
,CN,CN39,Mote Looe Key [In Situ],,,CN-12/39,114,0
,MC,MC95,Mote Looe Key [In Situ],,,MC-94,112,0
,SI,SI76,Mote Looe Key [In Situ],,,SI-76,111,0
,OF,OF934,Mote Islamorada [In Situ],,,Red94,110,0
,OF,OF1008,Mote Islamorada [In Situ],,,Blue05,108,0
,PC,PC35,Mote Looe Key [In Situ],,,PC-35,107,0
,MC,MC95,Mote Looe Key [In Situ],,,MC-95,105,0
,MC,MC203,Mote Looe Key [In Situ],,,MC MIX5,105,0
,PC,PC12,Mote Looe Key [In Situ],,,PC-12,102,0
,AC,AC10,Mote Looe Key [In Situ],,,X,100,0
,AC,AC31,Mote Looe Key [In Situ],,,X,100,0
,AC,AC3,Mote Looe Key [In Situ],,,AC-3,100,0
,AC,AC5,Mote Islamorada [In Situ],,,Red24,100,0
,AC,AC5,Mote Islamorada [In Situ],,,Red34,100,0
,AC,AC20,Mote Key Largo [In Situ],,,Red03,100,0
,AC,AC3,Mote Key Largo [In Situ],,,Red04,100,0
,AC,AC76,Mote Key Largo [In Situ],,,Red05,100,0
,AC,AC20,Mote Key Largo [In Situ],,,Blue13,100,0
,AC,AC3,Mote Key Largo [In Situ],,,Blue14,100,0
,AC,AC76,Mote Key Largo [In Situ],,,Blue05,100,0
,AC,AC58,Mote Key Largo [In Situ],,,Blue17,100,0
,AC,AC58,Mote Key Largo [In Situ],,,Blue20,100,0
,AC,AC5,Mote Key Largo [In Situ],,,Blue10,100,0
,AC,AC62,Mote Key Largo [In Situ],,,Blue02,100,0
,AC,AC5,Mote Islamorada [In Situ],,,Red04,100,0
,AC,AC7,Mote Islamorada [In Situ],,,Red05,100,0
,AC,AC88,Mote Key Largo [In Situ],,,Blue23,100,0
,AC,AC62,Mote Looe Key [In Situ],,,AC-62,100,0
,PC,PC39,Mote Looe Key [In Situ],,,PC-39,100,0
,AC,AC80,Mote Sand Key [In Situ],,,80,100,0
,AC,AC2603,Mote Sand Key [In Situ],,,NB-4,100,0
,OF,OF187,Mote Looe Key [In Situ],,,OF-186/187,96,0
,AC,AC8,Mote Key Largo [In Situ],,,Red01,95,0
,AC,AC75,Mote Key Largo [In Situ],,,Red02,95,0
,AC,AC8,Mote Key Largo [In Situ],,,Blue11,95,0
,AC,AC75,Mote Key Largo [In Situ],,,Blue22,95,0
,AC,AC2627,Mote Looe Key [In Situ],,,RD-2,95,0
,AC,AC2627,Mote Looe Key [In Situ],,,RD-2,95,0
,AC,AC31,Mote Looe Key [In Situ],,,X,95,0
,AC,AC51,Mote Looe Key [In Situ],,,AC-51,95,0
,AC,AC80,Mote Looe Key [In Situ],,,AC-80,95,0
,AC,AC84,Mote Looe Key [In Situ],,,AC-84,95,0
,AC,AC80,Mote Looe Key [In Situ],,,AC-80,95,0
,AC,AC75,Mote Looe Key [In Situ],,,AC-75,95,0
,AC,AC58,Mote Looe Key [In Situ],,,AC-58,95,0
,AC,AC1962,Mote Looe Key [In Situ],,,AC-1962,95,0
,AC,AC1287,Mote Looe Key [In Situ],,,AC-1287,95,0
,AC,AC51,Mote Sand Key [In Situ],,,51,95,0
,AC,AC62,Mote Sand Key [In Situ],,,62,95,0
,PC,PC52,Mote Summerland,,Unassigned,R12,90,0.5
,PC,PC26,Mote Key Largo [In Situ],,,Red01,90,0
,AC,AC13,Mote Key Largo [In Situ],,,Red02,90,0
,PC,PC26,Mote Key Largo [In Situ],,,Blue51,90,0
,AC,AC62,Mote Key Largo [In Situ],,,Blue21,90,0
,AC,AC13,Mote Key Largo [In Situ],,,Blue12,90,0
,AC,AC2635,Mote Looe Key [In Situ],,,RD-16,90,0
,AC,AC36,Mote Looe Key [In Situ],,,AC-36,90,0
,MC,MC71,Mote Looe Key [In Situ],,,MC-71,89,0
,PC,PC15,Mote Looe Key [In Situ],,,PC-15,88,0
,OF,OF775,Mote Summerland,All Summerland,E5,R1126,87,0.25
,PC,PC28,Mote Looe Key [In Situ],,,PC-28,86,0
,SS,SS86,Mote Looe Key [In Situ],,,SS MIX1,86,0
,AC,AC4,Mote Key Largo [In Situ],,,Blue15,85,0
,PS,PS23,Mote Looe Key [In Situ],,,PS-23,85,0
,DL,DL20,Mote Looe Key [In Situ],,,DL-20,82,0
,AC,AC2501,Mote Looe Key [In Situ],,,CU-001,80,0
,MC,MC75,Mote Looe Key [In Situ],,,MC-74,80,0
,AC,AC1,Mote Key Largo [In Situ],,,Red09,80,0
,AC,AC1,Mote Key Largo [In Situ],,,Blue09,80,0
,PC,PC16,Mote Summerland,All Summerland,D5,R1180,79,0.75
,ASTREOIDES,PA93,Mote Summerland,All Summerland,C6,R1384,79,0.25
,OF,OF775,Mote Summerland,All Summerland,E5,R686,79,0.5
,OF,OF457,Mote Summerland,All Summerland,A5,R1645,79,0.25
,OF,OF457,Mote Summerland,All Summerland,A5,R1645,79,0.25
,AC,AC2508,Mote Looe Key [In Situ],,,CU-020,79,0
,PC,PC32,Mote Looe Key [In Situ],,,PC-32,79,0
,OF,OF987,Mote Summerland,All Summerland,D5,R735,78,0.25
,MC,MC75,Mote Looe Key [In Situ],,,MC-75,78,0
,OF,OF985,Mote Summerland,All Summerland,B2,R1264,78,0.25
,CN,CN31,Mote Looe Key [In Situ],,,CN-7/31,78,0
,PC,PC33,Mote Looe Key [In Situ],,,PC-33,78,0
,MC,MC1,Mote Looe Key [In Situ],,,MC-1/4,77,0
,PS,PS8,Mote Summerland,All Summerland,D2,R1382,76,0.25
,PC,PC46,Mote Key Largo [In Situ],,,Red03,76,0
,PC,PC46,Mote Key Largo [In Situ],,,Blue93,76,0
,DL,DL0,Mote Looe Key [In Situ],,,2021 SR,76,0
,AC,AC88,Mote Key Largo [In Situ],,,Red03,75,0
,AC,AC10,Mote Looe Key [In Situ],,,AC-10,75,0
,PC,PC23,Mote Looe Key [In Situ],,,PC-23,75,0
,AC,AC2627,Mote Sand Key [In Situ],,,RD-2,75,0
,AC,AC10,Mote Sand Key [In Situ],,,10,75,0
,OF,OF1035,Mote Summerland,All Summerland,A6,R2000,74,0.5
,PS,PS13,Mote Summerland,All Summerland,D5,R1494,73,0.5
,OF,OF61,Mote Summerland,All Summerland,A5,R975,72,0.25
,PS,PS45,Mote Key Largo [In Situ],,,Red04,72,0
,PS,PS45,Mote Key Largo [In Situ],,,Red04,72,0
,OF,OF999,Mote Summerland,All Summerland,E1,R942,71,0.5
,MC,MC57,Mote Summerland,All Summerland,E1,R1033,71,0.5
,PC,PC56,Mote Summerland,All Summerland,F2,R1856,71,0.75
,OF,OF187,Mote Looe Key [In Situ],,,OF-924,71,0
,PA,PA403,Mote Summerland,All Summerland,A1,R1639,71,0.25
,OF,OF980,Mote Summerland,All Summerland,A2,R847,71,0.25
,ASTREOIDES,PA26,Mote Summerland,All Summerland,C3,R1422,70,0.25
,ASTREOIDES,PA50,Mote Summerland,All Summerland,C3,R1096,70,0.25
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C3,R1393,70,0.25
,PC,PC19,Mote Summerland,All Summerland,E6,R1461,70,0.75
,OF,OF773,Mote Summerland,All Summerland,E3,R1560,70,0.25
,OF,OF3,Mote Summerland,All Summerland,A6,R1632,70,0.25
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C3,R1258,70,0.5
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C3,R1127,70,0.5
,AC,AC2518,Mote Looe Key [In Situ],,,CU-041,70,0
,MC,MC94,Mote Looe Key [In Situ],,,MC-94,70,0
,MC,MC204,Mote Summerland,All Summerland,A5,R1788,70,0.25
,PC,PC41,Mote Summerland,All Summerland,A1,R1707,70,0.25
,PS,PS43,Mote Summerland,All Summerland,A1,R1662,70,0.25
,OF,OF988,Mote Summerland,All Summerland,A1,R2004,70,0.25
,OF,OF993,Mote Summerland,All Summerland,A1,R1968,70,0.25
,OF,OF800,Mote Summerland,All Summerland,B5,R1254,70,0.25
,PC,PC19,Mote Summerland,All Summerland,B5,R1999,70,0.25
,MC,MC106,Mote Summerland,All Summerland,A2,R45,70,0.25
,MC,MC204,Mote Key Largo [In Situ],,,Red03,70,0
,MC,MC204,Mote Key Largo [In Situ],,,Blue93,70,0
,AC,AC8,Mote Islamorada [In Situ],,,Red06,70,0
,OF,OF985,Mote Summerland,All Summerland,A4,R1178,70,0.25
,AC,AC2580,Mote Looe Key [In Situ],,,FM-18,70,0
,AC,AC2651,Mote Looe Key [In Situ],,,T-DT-1,70,0
,AC,AC2603,Mote Looe Key [In Situ],,,NB-4,70,0
,AC,AC5,Mote Islamorada [In Situ],,,Red14,69,0
,OF,OF980,Mote Summerland,All Summerland,H4,R804,69,0.5
,OF,OF999,Mote Summerland,All Summerland,E1,R1067,69,0.5
,OF,OF999,Mote Summerland,All Summerland,E1,R1117,69,0.5
,OF,OF100,Mote Islamorada,,G16,R104,69,0.5
,PS,PS49,Mote Summerland,All Summerland,A1,R73,69,0.25
,MC,MC127,Mote Summerland,All Summerland,A4,R1840,69,0.25
,PC,PC19,Mote Summerland,All Summerland,B6,R974,69,0.25
,PS,PS6,Mote Summerland,All Summerland,C6,R1656,69,0.25
,OF,OF61,Mote Summerland,All Summerland,A4,R868,69,0.25
,OF,OF976,Mote Summerland,All Summerland,B3,R139,68,0.75
,OF,OF979,Mote Summerland,All Summerland,F1,R812,68,0.5
,MC,MC62,Mote Summerland,All Summerland,E3,R1538,68,0.25
,OF,OF697,Mote Summerland,All Summerland,E5,R945,68,0.25
,ASTREOIDES,PA86,Mote Summerland,All Summerland,D1,R1744,68,0.25
,SIDEREA,SS83,Mote Summerland,All Summerland,C2,ISLA133,68,0.25
,SIDEREA,SS462,Mote Islamorada,,G11,R144,68,0.5
,SIDEREA,SS463,Mote Islamorada,,G10,R94,68,0.5
,SIDEREA,SS463,Mote Islamorada,,G11,R175,68,0.5
,OF,OF995,Mote Summerland,All Summerland,F6,R1184,67,0.75
,OF,OF1004,Mote Summerland,All Summerland,B3,R994,67,0.5
,PS,PS17,Mote Summerland,All Summerland,D3,R1462,67,0.5
,PS,PS6,Mote Summerland,All Summerland,E3,R855,67,0.5
,OF,OF3,Mote Summerland,All Summerland,B5,R1583,67,0.75
,INTERSEPTA,SI46,Mote Islamorada,,G3,R131,67,0.5
,SIDEREA,SS491,Mote Islamorada,,G15,R50,67,0.5
,DL,DL70,Mote Islamorada,,G15,R19,67,0.5
,PS,PS17,Mote Summerland,All Summerland,B6,R1539,67,0.25
,MC,MC60,Mote Summerland,All Summerland,B1,R1949,67,0.25
,OF,OF1035,Mote Looe Key [In Situ],,,OF-1035,67,0
,OF,OF988,Mote Summerland,All Summerland,E2,R758,66,0.75
,OF,OF980,Mote Summerland,All Summerland,F5,R854,66,0.75
,MC,MC59,Mote Summerland,All Summerland,E3,R1456,66,0.25
,PC,PC18,Mote Looe Key [In Situ],,,PC-18,66,0
,PC,PC30,Mote Looe Key [In Situ],,,PC-30,66,0
,OF,OF999,Mote Summerland,All Summerland,E1,R840,65,0.5
,PC,PC19,Mote Summerland,All Summerland,E6,R596,65,0.75
,ASTREOIDES,PA113,Mote Summerland,All Summerland,C3,R860,65,0.25
,MC,MC107,Mote Summerland,All Summerland,F5,R1446,65,0.75
,OF,OF328,Mote Summerland,All Summerland,D5,R1423,65,0.5
,OF,OF61,Mote Summerland,All Summerland,B5,R1673,65,0.25
,OF,OF980,Mote Summerland,All Summerland,F4,R1099,65,0.5
,DL,DL285,Mote Summerland,All Summerland,B2,R1094,65,0.25
,AC,AC58,Mote Key Largo [In Situ],,,Red07,65,0
,AC,AC5,Mote Key Largo [In Situ],,,Red10,65,0
,OF,OF1034,Mote Islamorada,,G15,R146,65,0.5
,OF,OF977,Mote Summerland,All Summerland,F3,R1091,64,0.75
,OF,OF999,Mote Summerland,All Summerland,D3,R1066,64,0.25
,OF,OF977,Mote Summerland,All Summerland,C6,R750,64,0.75
,PS,PS33,Mote Summerland,All Summerland,F6,R1088,64,0.75
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C3,R1389,64,0.25
,PS,PS9,Mote Summerland,All Summerland,D3,R1527,64,0.5
,PS,PS42,Mote Summerland,All Summerland,F6,R249,64,0.75
,PS,PS49,Mote Summerland,All Summerland,F3,R1463,64,0.5
,OF,OF801,Mote Summerland,All Summerland,A5,R1580,64,0.25
,SIDEREA,SS121,Mote Islamorada,,G16,R86,64,0.5
,OF,OF999,Mote Summerland,All Summerland,A4,R1037,64,0.25
,MC,MC92,Mote Looe Key [In Situ],,,MC MIX3,64,0
,PC,PC13,Mote Looe Key [In Situ],,,PC-13,64,0
,OF,OF976,Mote Summerland,All Summerland,B3,R238,63,0.75
,PC,PC13,Mote Summerland,All Summerland,C3,R1299,63,0.5
,DS,DS6,Mote Summerland,All Summerland,A1,R40,63,0.25
,OF,OF980,Mote Summerland,All Summerland,H1,R874,62,0.5
,OF,OF999,Mote Summerland,All Summerland,D3,R1278,62,0.25
,OF,OF999,Mote Summerland,All Summerland,D3,R1071,62,0.5
,OF,OF999,Mote Summerland,All Summerland,D3,R1303,62,0.25
,OF,OF999,Mote Summerland,All Summerland,D3,R1148,62,0.25
,ASTREOIDES,PA50,Mote Summerland,All Summerland,C3,R1003,62,0.25
,SIDEREA,SS160,Mote Summerland,All Summerland,C2,R556,62,0.25
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C6,R1392,62,0.25
,OF,OF986,Mote Islamorada,,G16,R108,62,0.25
,OF,OF1040,Mote Islamorada,,G9,R32,62,0.5
,AP,AP63,Mote Key Largo,,G19,R5,62,0.5
,AP,AP7,Mote Key Largo,,G13,R263,62,0.5
,PS,PS49,Mote Summerland,All Summerland,B2,R2016,62,0.25
,OF,OF985,Mote Summerland,All Summerland,B2,R814,62,0.25
,OF,OF1005,Mote Summerland,All Summerland,A4,R811,62,0.25
,PC,PC34,Mote Looe Key [In Situ],,,PC-34,62,0
,OF,OF999,Mote Summerland,All Summerland,E1,R1140,61,0.5
,OF,OF999,Mote Summerland,All Summerland,D3,R1000,61,0.25
,OF,OF1005,Mote Summerland,All Summerland,B3,R1364,61,0.75
,OF,OF1006,Mote Summerland,All Summerland,C2,R1188,61,0.75
,AP,AP39,Mote Key Largo,,G5,R61,61,0.25
,SIDEREA,SS60,Mote Islamorada,,G10,R127,61,0.5
,OF,OF1005,Mote Summerland,All Summerland,E2,R449,61,0.75
,MC,MC60,Mote Summerland,All Summerland,A1,R1398,61,0.25
,OF,OF773,Mote Summerland,All Summerland,E3,R1548,61,0.5
,INTERSEPTA,SI11,Mote Summerland,All Summerland,C1,R4 ,61,0.5
,PS,PS49,Mote Summerland,All Summerland,F3,R1114,61,0.5
,AP,AP4,Mote Key Largo,,G13,R200,61,0.5
,PS,PS49,Mote Summerland,All Summerland,A6,R1589,61,0.25
,AP,AP119,Mote Key Largo,,G5,R57,61,0.5
,AP,AP144,Mote Key Largo,,G19,R278,61,0.25
,INTERSEPTA,SI235,Mote Islamorada,,G1,R138,61,0.5
,PS,PS1,Mote Summerland,All Summerland,B2,R1204,61,0.25
,DL,DL3,Mote Summerland,All Summerland,B2,R515,61,0.25
,OF,OF993,Mote Summerland,All Summerland,F2,R1240,61,1
,OF,OF671,Mote Summerland,All Summerland,B6,R1391,61,0.25
,OF,OF994,Mote Summerland,All Summerland,B6,R303,61,0.25
,OF,OF1002,Mote Summerland,All Summerland,B6,R668,61,0.25
,MC,MC127,Mote Looe Key [In Situ],,,MC MIX4,61,0
,SIDEREA,SS495,Mote Islamorada,,G15,R258,61,0.5
,OF,OF980,Mote Summerland,All Summerland,F1,R806,60,0.5
,AP,AP6,Mote Key Largo,,G15,R047,60,0.5
,AP,AP1,Mote Key Largo,,G5,R138,60,0.5
,OF,OF977,Mote Summerland,All Summerland,D5,R693,60,0.5
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C5,R827,60,0.25
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C4,R599,60,0.75
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C4,R801,60,0.75
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C4,R1073,60,0.25
,AP,AP101,Mote Key Largo,,G16,R64,60,0.5
,SIDEREA,SS83,Mote Key Largo,,G8,R260,60,0.5
,OF,OF1004,Mote Summerland,All Summerland,E2,R1432,60,0.75
,SIDEREA,SS91,Mote Key Largo,,G8,R227,60,0.25
,SIDEREA,SS83,Mote Key Largo,,G8,R271,60,0.5
,PC,PC19,Mote Summerland,All Summerland,D3,R1558,60,0.5
,SIDEREA,SS91,Mote Key Largo,,G8,R190,60,0.25
,SIDEREA,SS91,Mote Key Largo,,G8,R7,60,0.25
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C1,R5,60,0.5
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C4,R8,60,0.5
,AP,AP126,Mote Key Largo,,G5,R107,60,0.25
,AP,AP26,Mote Key Largo,,G5,R282,60,0.5
,AP,AP26,Mote Key Largo,,G19,R141,60,0.25
,AP,AP124,Mote Key Largo,,G16,R287,60,0.5
,PS,PS50,Mote Summerland,All Summerland,D1,R1027,60,0.5
,AP,AP14,Mote Key Largo,,G13,R262,60,0.5
,AP,AP110,Mote Key Largo,,G3,R194,60,0.5
,AP,AP7,Mote Key Largo,,G13,R192,60,0.5
,OF,OF1035,Mote Summerland,All Summerland,D1,R1624,60,0.5
,AP,AP14,Mote Key Largo,,G13,R46,60,0.5
,AP,AP14,Mote Key Largo,,G13,R272,60,0.5
,AP,AP14,Mote Key Largo,,G13,R208,60,0.5
,AP,AP14,Mote Key Largo,,G13,R270,60,0.25
,AP,AP4,Mote Key Largo,,G13,R171,60,0.5
,AP,AP110,Mote Key Largo,,G3,R314,60,0.75
,AP,AP24,Mote Key Largo,,G3,R35,60,0.5
,AP,AP110,Mote Key Largo,,G3,R74,60,0.5
,AP,AP378,Mote Key Largo,,G14,R214,60,0.5
,AP,AP68,Mote Key Largo,,G7,R37,60,0.75
,AP,AP1,Mote Key Largo,,G5,R133,60,0.5
,AP,AP82,Mote Key Largo,,G7,R228,60,0.5
,AP,AP82,Mote Key Largo,,G7,R99,60,0.75
,AP,AP24,Mote Key Largo,,G5,R197,60,0.75
,AP,AP1,Mote Key Largo,,G5,R40,60,0.5
,OF,OF999,Mote Summerland,All Summerland,E1,R1142,60,0.5
,AP,AP120,Mote Key Largo,,G9,R97,60,0.5
,AP,AP76,Mote Key Largo,,G19,R206,60,0.25
,AP,AP83,Mote Key Largo,,G19,R52,60,0.25
,AP,AP9,Mote Key Largo,,G19,R27,60,0.25
,AC,AC94,Mote Looe Key [In Situ],,,AC-94,60,0
,AC,AC725,Mote Looe Key [In Situ],,,AC-725,60,0
,INTERSEPTA,SI46,Mote Islamorada,,G3,R279,60,0.5
,AP,AP41,Mote Key Largo,,G17,R205,60,0.25
,SIDEREA,SS462,Mote Islamorada,,G10,R124,60,0.5
,PC,PC19,Mote Summerland,All Summerland,B5,R1018,60,0.25
,AP,AP63,Mote Key Largo,,G16,R30,60,0.25
,AP,AP63,Mote Key Largo,,G16,R211,60,0.25
,DL,DL3,Mote Summerland,All Summerland,B2,R1671,60,0.25
,AP,AP63,Mote Key Largo,,G13,R56,60,0.25
,OF,OF993,Mote Summerland,All Summerland,B2,R1800,60,0.25
,AP,AP40,Mote Key Largo,,G15,R183,60,0.5
,AP,AP41,Mote Key Largo,,G13,R299,60,0.25
,AP,AP397,Mote Key Largo,,G3,R136,60,0.25
,AP,AP397,Mote Key Largo,,G5,R102,60,0.25
,MC,MC59,Mote Summerland,All Summerland,B1,R1551,60,0.25
,AC,AC51,Mote Key Largo [In Situ],,,Blue29,60,0
,PA,PA406,Mote Summerland,All Summerland,A2,R1678,60,0.25
,OF,OF999,Mote Summerland,All Summerland,D3,R856,60,0.25
,OF,OF999,Mote Summerland,All Summerland,D3,R1168,60,0.25
,AC,AC51,Mote Key Largo [In Situ],,,Red09,60,0
,AP,AP23,Mote Key Largo,,G15,R245,60,0.75
,MC,MC11,Mote Looe Key [In Situ],,,MC-11,60,0
,PS,PS4,Mote Looe Key [In Situ],,,PS-4,60,0
,AC,AC31,Mote Sand Key [In Situ],,,31,60,0
,OF,OF977,Mote Summerland,All Summerland,F3,R864,59,0.75
,ASTREOIDES,PA129,Mote Summerland,All Summerland,G9,R1145,59,0.5
,ASTREOIDES,PA107,Mote Summerland,All Summerland,G9,R215,59,0.25
,AP,AP13,Mote Key Largo,,G9,R229,59,0.25
,OF,OF977,Mote Summerland,All Summerland,E2,R703,59,0.5
,INTERSEPTA,SI12,Mote Summerland,All Summerland,C4,R1020,59,0.5
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C5,R458,59,0.25
,PS,PS9,Mote Summerland,All Summerland,E1,R1454,59,0.25
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C5,R17,59,0.25
,AP,AP110,Mote Key Largo,,G3,R170,59,0.5
,AP,AP110,Mote Key Largo,,G3,R175,59,0.5
,,AP,Mote Key Largo,,G13,R113,59,0.75
,AP,AP14,Mote Key Largo,,G13,R143,59,0.5
,AP,AP99,Mote Key Largo,,G3,R265,59,0.75
,DL,DL190,Mote Summerland,All Summerland,D1,R404,59,0.25
,OF,OF1035,Mote Summerland,All Summerland,D2,R1658,59,0.25
,AP,AP393,Mote Key Largo,,G19,R172,59,0.25
,AP,AP387,Mote Key Largo,,G19,R128,59,0.25
,AP,AP6,Mote Key Largo,,G15,R294,59,0.5
,AP,AP23,Mote Key Largo,,G17,R95,59,0.25
,SIDEREA,SS494,Mote Islamorada,,G15,R246,59,0.5
,OF,OF985,Mote Summerland,All Summerland,F5,R1313,59,0.75
,MC,MC107,Mote Summerland,All Summerland,C1,R888,59,0.25
,OF,OF701,Mote Summerland,All Summerland,A2,R1315,59,0.25
,OF,OF951,Mote Islamorada,,Unassigned,R47,59,0.5
,PC,PC16,Mote Looe Key [In Situ],,,PC-16,59,0
,AC,AC2516,Mote Sand Key [In Situ],,,CU-038,59,0
,OF,OF1027,Mote Islamorada,,G10,R2,59,0.5
,OF,OF1005,Mote Summerland,All Summerland,F3,R1070,58,0.75
,AP,AP120,Mote Key Largo,,G9,R12,58,0.5
,OF,OF977,Mote Summerland,All Summerland,D5,R1083,58,0.5
,MC,MC112,Mote Summerland,All Summerland,C6,R1373,58,0.75
,OF,OF977,Mote Summerland,All Summerland,B3,R601,58,0.75
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C5,R849,58,1
,AP,AP37,Mote Key Largo,,G17,R237,58,0.25
,INTERSEPTA,SI11,Mote Summerland,All Summerland,C4,R327,58,0.25
,OF,OF987,Mote Summerland,All Summerland,F1,R908,58,0.25
,AP,AP53,Mote Key Largo,,G3,R53,58,0.5
,MC,MC112,Mote Summerland,All Summerland,F5,R1388,58,1
,OF,OF986,Mote Islamorada,,G16,R169,58,0.25
,INTERSEPTA,SI11,Mote Summerland,All Summerland,E3,R621,58,0.25
,OF,OF983,Mote Summerland,All Summerland,F5,R1947,58,0.75
,AP,AP16,Mote Key Largo,,G15,R174,58,0.25
,PS,PS49,Mote Summerland,All Summerland,A6,R1603,58,0.25
,AP,AP14,Mote Key Largo,,G13,R308,58,0.25
,INTERSEPTA,SI46,Mote Islamorada,,G3,R274,58,0.5
,INTERSEPTA,SI46,Mote Islamorada,,G3,R77,58,0.5
,AP,AP6,Mote Key Largo,,G17,R242,58,0.25
,AP,AP37,Mote Key Largo,,G15,R55,58,0.25
,AP,AP41,Mote Key Largo,,G5,R88,58,0.25
,PC,PC55,Mote Summerland,All Summerland,F6,R1547,58,0.75
,OF,OF980,Mote Summerland,All Summerland,F1,R107,57,0.5
,AP,AP42,Mote Key Largo,,G9,R319,57,0.5
,AP,AP63,Mote Key Largo,,G16,R241,57,0.5
,OF,OF1020,Mote Islamorada,,G9,R35,57,0.25
,OF,OF1036,Mote Islamorada,,G10,R187,57,0.5
,OF,OF677,Mote Summerland,All Summerland,E5,R881,57,0.5
,AP,AP121,Mote Key Largo,,G14,R19,57,0.25
,AP,AP14,Mote Key Largo,,G13,R307,57,0.5
,AP,AP121,Mote Key Largo,,G14,R16,57,0.5
,OF,OF61,Mote Summerland,All Summerland,A6,R1630,57,0.25
,AP,AP23,Mote Islamorada,,G12,R26,57,0.5
,OF,OF924,Mote Looe Key [In Situ],,,OF-UNK,57,0
,AP,AP392,Mote Key Largo,,G17,R116,57,0.25
