id,species,genotype,site,subsystem,tank,rack,qty,size
eeb87855-ad48-4a38-a319-9cbc20a6c6e2,INTERSEPTA,SI12,Mote Summerland,All Summerland,C5,R589,521,0.25
3bcfd6ae-50ec-411d-8788-d893ac8c3b96,PC,PC52,Mote Summerland,,Unassigned,R12,90,0.5
4412d06d-daea-4407-b4db-7a513fbfcb47,ASTREOIDES,PA93,Mote Summerland,All Summerland,D1,R1384,79,0.25
614a5ed1-6a5f-41c8-a864-70dce3f2845f,OF,OF775,Mote Summerland,All Summerland,D5,R1126,79,0.25
85835487-a981-4ce1-9ea2-3acf98670df5,OF,OF985,Mote Summerland,All Summerland,B2,R1264,78,0.25
10b408da-4ba7-44bb-b16c-2025e4263992,OF,OF668,Mote Summerland,All Summerland,F1,R1768,73,0.25
0aef6173-fec3-4e78-ab82-62ed7feb9367,PS,PS8,Mote Summerland,All Summerland,F5,R1382,72,0.25
99d3fd16-e043-4e87-a183-22c285eacc10,PA,PA403,Mote Summerland,All Summerland,E1,R1639,71,0.25
e7e28131-6a63-4427-b5f4-2486bfb8a909,INTERSEPTA,SI13,Mote Summerland,All Summerland,F5,R1065,70,0.25
fbcdc032-3a37-4607-adb6-324e23e55444,ASTREOIDES,PA106,Mote Summerland,All Summerland,E4,R1241,70,0.25
daa75ac5-b72a-436f-bdbe-c355890db628,ASTREOIDES,PA111,Mote Summerland,All Summerland,E4,R1680,70,0.25
c11dfba3-b7fe-4706-ba1a-05418f4cf107,OF,OF773,Mote Summerland,All Summerland,E3,R1560,70,0.25
83edc8e2-0bd8-4c7b-9619-1adb9a730bb7,OF,OF1035,Mote Summerland,All Summerland,A6,R2000,70,0.5
1f9e7f73-0405-496b-851a-5915d3aacdd2,OF,OF3,Mote Summerland,All Summerland,A6,R1632,70,0.25
7397c76b-5f8d-4018-8e8c-d91eb228f744,INTERSEPTA,SI13,Mote Summerland,All Summerland,D2,R1258,70,0.5
fedc37e0-3062-4bf9-9ac7-4d49061c9f32,OF,OF988,Mote Summerland,All Summerland,E1,R2004,70,0.25
4f3db46d-5026-450a-ac70-7f1d817de55d,MC,MC106,Mote Summerland,All Summerland,A3,R45,70,0.25
68ed3619-7d02-44b8-b55f-1cb3b662cd49,OF,OF985,Mote Summerland,All Summerland,A5,R1178,70,0.25
24c96945-386c-4de5-a179-e4b1a81ea029,MC,MC127,Mote Summerland,All Summerland,A5,R1840,69,0.25
02e01b10-318b-4edc-abd2-c8fbce36975e,INTERSEPTA,SI13,Mote Summerland,All Summerland,D2,R2020,68,0.25
1be38f7e-259f-4514-85c6-75486da9027d,OF,OF697,Mote Summerland,All Summerland,D5,R945,68,0.25
0766c444-f9a7-49d9-b2f4-29d51179f05d,OF,OF775,Mote Summerland,All Summerland,D5,R686,68,0.5
d134a67c-daea-486b-bb07-aed7722760fb,SIDEREA,SS83,Mote Summerland,All Summerland,C2,ISLA133,68,0.25
7c062211-f397-4895-bce8-665483f83de9,DL,DL70,Mote Islamorada,,G8,R19,68,0.5
6d9260ef-dd05-4937-ad19-b5abab7c30ab,ASTREOIDES,PA106,Mote Summerland,All Summerland,E4,R1640,67,0.25
11ed1725-aa4d-4467-bfbf-f8634524c7cc,OF,OF963,Mote Summerland,All Summerland,H7,R180,67,
4726bb8e-e1ee-49c7-8670-f35255dc35fe,SH,SH119,Mote Summerland,All Summerland,A1,R1777,67,0.75
51c79af6-8c04-4af9-bb25-f3fa2617a988,OF,OF980,Mote Summerland,All Summerland,A3,R847,67,0.25
7ef53687-0f8a-4799-ad23-2604caa63a33,OF,OF61,Mote Summerland,All Summerland,A5,R868,67,0.25
10b07a83-adb2-458a-86f9-0a3f6572322a,OF,OF988,Mote Summerland,All Summerland,F4,R1942,66,0.75
ab106557-b5f0-467c-9896-44380f557ded,ASTREOIDES,PA47,Mote Summerland,All Summerland,E4,R655,66,0.25
07fb065c-e5e0-4ac0-bb5d-f47129ff4142,OF,OF999,Mote Summerland,All Summerland,D4,R840,66,0.5
86367d15-d8ea-4f3e-8e8f-9784af7a87f3,MC,MC59,Mote Summerland,All Summerland,E3,R1456,66,0.25
57983395-ef02-4171-82b7-0a2c9bf9e68b,OF,OF457,Mote Summerland,All Summerland,A2,R1645,65,0
b64e3807-5dae-4247-9ae4-45a729c01d4f,ASTREOIDES,PA113,Mote Summerland,All Summerland,D2,R860,65,0.25
089f5f34-f2ee-46a7-bbf2-2d8930c7783c,OF,OF100,Mote Islamorada,,G11,R207,65,0.5
5edac36c-9a23-400b-8ae0-11cd4fc19d7b,OF,OF993,Mote Summerland,All Summerland,E1,R1968,65,0.25
7680b769-0124-48e3-9add-4e9145c35dae,PS,PS17,Mote Summerland,All Summerland,C4,R1539,65,0.25
ece9b6c4-e012-468b-b4c3-8a7f308e653f,PS,PS6,Mote Summerland,All Summerland,C4,R1403,65,0.25
