id,species,genotype,site,subsystem,tank,rack,qty,size
f193254f-ab85-4574-96d3-370dd7fd8279,PC,PC0,Mote Islamorada [In Situ],,Red73,R99,1,1.5
4728a254-27ba-4a46-8bd5-202ff2d45f4b,PS,PS7,Mote Islamorada [In Situ],,Red84,R108,212,1
087b900f-7809-4f04-b138-5d9cb06b458e,PC,PC19,Mote Looe Key [In Situ],,PC-19,R2,156,1
10fbd4b1-f014-4893-985a-c731b11fb650,AC,AC5,Mote Islamorada [In Situ],,Blue03,R159,99,1
a3da8700-b810-45cb-8816-34ff565a0d7f,AC,AC5,Mote Islamorada [In Situ],,Blue04,R160,98,1
67d9e03a-3639-40fb-b8fa-e2e3828cd710,AC,AC5,Mote Islamorada [In Situ],,Blue05,R60,93,1
ded0f318-04e1-447c-801b-384a081eb2b0,MC,MC95,Mote Looe Key [In Situ],,MC-95,R49,87,1
499ab788-96d2-42cf-97ae-fe134b0781bc,AC,AC5,Mote Islamorada [In Situ],,Blue06,R28,85,1
14286855-ae0f-47aa-9efb-63681544592b,MC,MC71,Mote Looe Key [In Situ],,MC-71,R43,74,1
893efe53-bf72-4d3e-9f8a-613b58c0a181,MC,MC75,Mote Looe Key [In Situ],,MC-75,R46,73,1
01a0d1f3-178c-4ef8-b127-0a28cbbfbf30,MC,MC94,Mote Looe Key [In Situ],,MC-94,R47,69,1
d8033f5b-756c-498f-aba4-80c372cb1b96,MC,MC202,Mote Islamorada [In Situ],,Red53,R6,63,1
7d9c0aa6-4f6b-4c2e-a981-de51cbb218cf,PS,PS15,Mote Islamorada [In Situ],,Red81,R21,53,1
f5972bfe-34af-4ff7-8643-d784b9ede13b,MC,MC1,Mote Looe Key [In Situ],,MC-1,R9,51,1
cc697f44-4bc0-4354-b0d1-c443c332298b,MC,MC11,Mote Looe Key [In Situ],,MC-11,R42,48,1
c54aef85-c50d-4f15-a477-392b253f44d8,MC,MC72,Mote Looe Key [In Situ],,MC-72,R44,40,1
dce71bde-93ec-4238-888b-3dca2bf0c286,MC,MC74,Mote Looe Key [In Situ],,MC-74,R45,39,1
78657730-931f-474f-889e-11e91fa44322,OF,OF1022,Mote Islamorada [In Situ],,Red81,R21,21,1
c0216066-2af0-4edc-a10e-55a715dffa73,AC,AC58,Mote Islamorada [In Situ],,Red10,R181,20,1
f9a1a7e3-77c3-4cd5-bd8d-0ed9a802213a,OF,OF1040,Mote Islamorada [In Situ],,Red82,R107,20,1
ed77cf4b-8d0b-4622-adfe-a46845378f4e,OF,OF1027,Mote Islamorada [In Situ],,Red83,R26,10,1
76fcd401-d8c3-4b8d-9618-9f946ef5201a,PS,PS7,Mote Islamorada [In Situ],,Red85,R110,6,1
cdc822ed-e75c-41ce-bbba-1badcce17167,AP,AP126,Mote Key Largo [In Situ],,Blue44,R29,3,1
48afda32-a671-4f8e-ba6e-0369f49f66ad,AP,AP124,Mote Key Largo [In Situ],,Blue44,R29,2,1
c02278d9-f8cb-4cc4-aff7-4df55d3c22e2,AC,AC91,Mote Key Largo [In Situ],,Blue58,R1041,1,1
831fc058-d1bd-48ec-99b3-9183cf6b95b8,AC,AC80,Mote Key Largo [In Situ],,Blue58,R1041,1,1
64af2b57-8113-4396-9843-9b42bdcf412a,AC,AC78,Mote Key Largo [In Situ],,Blue58,R1041,1,1
af9d1b3b-6cab-4032-9c86-371220d79cb7,AC,AC54,Mote Key Largo [In Situ],,Blue58,R1040,1,1
8a78b05f-96f1-4b9a-9c1f-0a123df44169,AC,AC48,Mote Key Largo [In Situ],,Blue58,R1040,1,1
c8baaf88-8459-4238-a2a5-a28dcb55daa3,AC,AC46,Mote Key Largo [In Situ],,Blue58,R1040,1,1
f4f5a4a7-47c3-4d95-ba2e-cbc1a39c5652,AC,AC38,Mote Key Largo [In Situ],,Blue58,R1040,1,1
4b26face-7202-4ca3-8ac6-101896e2af59,AC,AC10,Mote Key Largo [In Situ],,Blue58,R1040,1,1
fce0fba7-69e4-4204-839e-ed3809c9ced9,AC,AC77,Mote Key Largo [In Situ],,Blue58,R1040,1,1
bbcf3c8f-9a66-422d-8ff0-8eb8d6dfb9ac,OF,OF957,Mote Islamorada [In Situ],,Red92,R124,207,0.75
b11b1616-6cee-4bb6-bd15-cd2643574a97,SB,SB30,Mote Islamorada [In Situ],,Red88,R102,183,0.75
693f0ed4-7ddb-4618-9ce5-1619d3fff2c9,OF,OF940,Mote Islamorada [In Situ],,Red48,R39,154,0.75
20414679-b030-4119-8c57-276ff3c3fcf0,SB,SB41,Mote Islamorada [In Situ],,Red89,R308,148,0.75
ecc0837a-0866-4bd7-bfe7-95554743804f,PC,PC25,Mote Islamorada [In Situ],,Red64,R92,141,0.75
3b0eacdc-b130-415f-9d9e-d9590037428e,MC,MC204,Mote Key Largo [In Situ],,Blue93,R53,120,0.75
72066b35-efaa-4d21-8148-b9e2dbc2e621,MC,MC205,Mote Islamorada [In Situ],,Red73,R99,118,0.75
ed61d354-9697-408c-bb9b-d500a7dbb253,OF,OF954,Mote Islamorada [In Situ],,Red97,R49,110,0.75
