id,date,cluster_id,genotype_name,species,site,rack,qty,reason,comment
84f70df5-67dd-4af5-9308-d255754f2b12,12/30/24 12:24,9767f794-7f77-4d31-ab84-14961be1ac49,AP82,AP,Mote Key Largo,R84,-17,Transfer,transfer_to_G7
5ed32733-612f-44b2-afc4-89cf717bc0a1,12/30/24 12:23,0e5f1d8c-fc5d-4698-acf7-0a5b51145157,AP82,AP,Mote Key Largo,R135,12,Transfer,transfer_from_G2
1c4f42c6-5657-4b32-a08c-0a8916a9f957,12/30/24 12:22,44170a0a-ada1-4609-bda8-02e6b4da5fc5,AP426,AP,Mote Key Largo,R135,16,fragging,fragging
683fffca-e677-40cd-9750-2706e141f5dc,12/30/24 11:53,9acdb460-6dde-4e23-8364-7f877a16eae9,AP408,AP,Mote Key Largo,R87,0,Move Out,
80a5d4ea-3654-48b4-867f-3fc9b1758ac8,12/30/24 11:53,fb23571c-713d-4753-ab80-795798c06c00,AP370,AP,Mote Key Largo,R108,0,Move Out,
cad21d35-13f7-4d2e-9e24-6e5f776c58a0,12/30/24 11:52,482263f0-d477-4beb-abbb-e93799325c53,AP144,AP,Mote Key Largo,R108,-18,Transfer,transfer_from_G2
c5f49e55-c6f6-49bf-8faa-7bd4b91aebc2,12/30/24 11:52,183d0ad8-9b9d-4ac2-88b6-a6495c6ca163,AP144,AP,Mote Key Largo,R278,18,Transfer,transfer_to_G19
d6c59c4d-76d6-4bf3-8368-4bba71ab2d52,12/30/24 11:46,482263f0-d477-4beb-abbb-e93799325c53,AP144,AP,Mote Key Largo,R108,9,fragging,fragging
3b4ddcac-dbd2-4284-99a9-35e2f267c1df,12/30/24 11:28,9acdb460-6dde-4e23-8364-7f877a16eae9,AP408,AP,Mote Key Largo,R87,-10,Transfer,external_transfer_from_G2
b32575e5-e020-4235-a485-1b5995e81708,12/30/24 11:28,4300c769-bf64-4dd4-90dc-50fcdd66487f,AP146,AP,Mote Key Largo,R87,-10,Transfer,external_transfer_from_G2
7c86d8ad-1a16-443d-93ed-1742c6e33bcc,12/30/24 11:28,abaa1d7a-2a9b-4a49-997a-70b502306775,AP110,AP,Mote Key Largo,R87,-8,Transfer,external_transfer_from_G2
6c13df73-bcff-4d7a-b246-e05f7a46391c,12/30/24 11:27,3058cb48-d6d5-4400-9fe5-12628119e62a,AP146,AP,Mote Key Largo,R110,10,Transfer,transfer_to_G15
2c78319b-102b-4535-bc58-e192324416b2,12/30/24 11:25,74644207-54a2-4d06-8d36-a4c246ea3629,AP110,AP,Mote Key Largo,R120,8,Transfer,transfer_to_G3
d2252563-8016-436f-8486-6894a647bbe9,12/30/24 11:23,21659b6a-daa2-4996-84da-785b7a96e489,AP408,AP,Mote Key Largo,R63,11,Transfer,transfer_to_G3
e8974ed1-fc19-4d66-a917-3046e244fef6,12/30/24 11:11,337f598f-854d-42a7-b334-30b3dc086a10,AP426,AP,Mote Key Largo,R1027,1,Transfer,transfer_to_G2
bdb7d2df-ba77-470c-8231-29a0f78c4e8c,12/30/24 11:10,337f598f-854d-42a7-b334-30b3dc086a10,AP426,AP,Mote Key Largo,R1027,0,Move In,
bf709e33-2004-413f-bc49-97faaecf2092,12/30/24 11:10,3387b765-9892-483d-8ffe-eaefedebd25f,AP146,AP,Mote Key Largo,R1024,2,Transfer,transfer_to_G2
96ff0694-2ed8-4320-891b-2dccf1355a5b,12/30/24 11:09,86271297-abf3-43d3-a28d-c11c3a683460,AP408,AP,Mote Key Largo,R1025,4,Transfer,transfer_to_G2
13340e8a-f93e-4888-bfa7-316567061511,12/30/24 10:51,3058cb48-d6d5-4400-9fe5-12628119e62a,AP146,AP,Mote Key Largo,R110,-4,Transfer,transfer_from_G15
ebbdedea-9c20-4c9c-b6ec-72a17bbd1bc1,12/30/24 10:46,1523fcd4-9ca6-48af-957a-96b005428448,AP408,AP,Mote Key Largo,R63,-9,Transfer,transfer_from_G3
00d1b82a-bf77-40b1-a03e-31382a074454,12/30/24 10:11,9c67fe7c-37b4-4194-9c65-2663a7f95974,AP408,AP,Mote Key Largo,R20,-1,other,other
420b1838-a11b-41af-86f9-61f8fef230a5,12/30/24 8:46,4d845191-7629-4951-8118-e2204c622e65,OF1034,OF,Mote Key Largo,R281,-12,correction,correction
4c61246b-0187-45ab-80c7-79252a1566f0,12/30/24 8:46,75eb71f4-3931-4335-9142-0663ce7e6231,OF1034,OF,Mote Key Largo,R281,-1,correction,correction
40f16f88-39d0-4c86-a1bc-7831221d3e38,12/30/24 8:45,9a97c827-2830-41e5-8ad1-6cc5f805d6a8,OF1028,OF,Mote Key Largo,R137,-3,other,other
0185b332-008a-4a19-ad3b-be578c708487,12/30/24 8:00,3e2c059f-feac-485a-a1ac-5839899992ae,AP15,AP,Mote Key Largo,R22,-1,other,other
fa06d822-a83c-4724-a665-f29a6c3498a1,12/30/24 7:58,2fc3edbd-f419-45ff-b810-d9aba09183eb,AP7,AP,Mote Key Largo,R184,-1,other,other
28b74095-791e-4c6c-9c58-db6ba34c01fe,12/30/24 7:50,67b1c456-7cf5-4dae-804d-602af64d754a,AP114,AP,Mote Key Largo,R188,-2,other,other
