id,species,genotype,site,subsystem,tank,rack,qty
,PS,PS7,Mote Islamorada [In Situ],,,Red84,173
,PC,PC38,Mote Looe Key [In Situ],,,PC-38,168
,OA,OA9,Mote Looe Key [In Situ],,,OA-9,158
,MC,MC95,Mote Looe Key [In Situ],,,MC-94,112
,MC,MC95,Mote Looe Key [In Situ],,,MC-95,112
,OF,OF934,Mote Islamorada [In Situ],,,Red94,110
,OF,OF1008,Mote Islamorada [In Situ],,,Blue05,108
,AC,AC2580,Mote Looe Key [In Situ],,,FM-18,100
,AC,AC2603,Mote Looe Key [In Situ],,,NB-4,100
,AC,AC2616,Mote Looe Key [In Situ],,,NB-5a,100
,AC,AC2603,Mote Looe Key [In Situ],,,NB-4,100
,AC,AC2627,Mote Looe Key [In Situ],,,RD-2,100
,AC,AC2627,Mote Looe Key [In Situ],,,RD-2,100
,AC,AC2638,Mote Looe Key [In Situ],,,RD-30,100
,AC,AC2635,Mote Looe Key [In Situ],,,RD-16,100
,AC,AC31,Mote Looe Key [In Situ],,,31,100
,AC,AC10,Mote Looe Key [In Situ],,,X,100
,AC,AC31,Mote Looe Key [In Situ],,,X,100
,AC,AC10,Mote Looe Key [In Situ],,,10,100
,AC,AC3,Mote Looe Key [In Situ],,,3,100
,AC,AC51,Mote Looe Key [In Situ],,,51,100
,AC,AC36,Mote Looe Key [In Situ],,,36,100
,AC,AC34,Mote Looe Key [In Situ],,,34,100
,AC,AC80,Mote Looe Key [In Situ],,,80,100
,AC,AC84,Mote Looe Key [In Situ],,,84,100
,AC,AC80,Mote Looe Key [In Situ],,,80,100
,AC,AC75,Mote Looe Key [In Situ],,,75,100
,AC,AC62,Mote Looe Key [In Situ],,,62,100
,AC,AC58,Mote Looe Key [In Situ],,,58,100
,AC,AC1962,Mote Looe Key [In Situ],,,1962,100
,AC,AC1287,Mote Looe Key [In Situ],,,1287,100
,AC,AC2627,Mote Sand Key [In Situ],,,RD-2,100
,AC,AC31,Mote Sand Key [In Situ],,,31,100
,AC,AC80,Mote Sand Key [In Situ],,,80,100
,AC,AC10,Mote Sand Key [In Situ],,,10,100
,AC,AC2603,Mote Sand Key [In Situ],,,NB-4,100
,AC,AC51,Mote Sand Key [In Situ],,,51,100
,AC,AC62,Mote Sand Key [In Situ],,,62,100
,AC,AC5,Mote Islamorada [In Situ],,,Red24,100
,AC,AC5,Mote Islamorada [In Situ],,,Red34,100
,AC,AC20,Mote Key Largo [In Situ],,,Red03,100
,AC,AC3,Mote Key Largo [In Situ],,,Red04,100
,AC,AC76,Mote Key Largo [In Situ],,,Red05,100
,AC,AC20,Mote Key Largo [In Situ],,,Blue13,100
,AC,AC3,Mote Key Largo [In Situ],,,Blue14,100
,AC,AC76,Mote Key Largo [In Situ],,,Blue05,100
,AC,AC58,Mote Key Largo [In Situ],,,Blue17,100
,AC,AC58,Mote Key Largo [In Situ],,,Blue20,100
,AC,AC5,Mote Key Largo [In Situ],,,Blue10,100
,AC,AC62,Mote Key Largo [In Situ],,,Blue02,100
,AC,AC5,Mote Islamorada [In Situ],,,Red04,100
,AC,AC7,Mote Islamorada [In Situ],,,Red05,100
,AC,AC88,Mote Key Largo [In Situ],,,Blue23,100
,PS,PS23,Mote Looe Key [In Situ],,,PS-23,96
,AC,AC8,Mote Key Largo [In Situ],,,Red01,95
,AC,AC75,Mote Key Largo [In Situ],,,Red02,95
,AC,AC8,Mote Key Largo [In Situ],,,Blue11,95
,AC,AC75,Mote Key Largo [In Situ],,,Blue22,95
,PC,PC52,Mote Summerland,,Unassigned,R12,90
,PC,PC26,Mote Key Largo [In Situ],,,Red01,90
,AC,AC13,Mote Key Largo [In Situ],,,Red02,90
,PC,PC26,Mote Key Largo [In Situ],,,Blue51,90
,AC,AC62,Mote Key Largo [In Situ],,,Blue21,90
,AC,AC13,Mote Key Largo [In Situ],,,Blue12,90
,DL,DL20,Mote Looe Key [In Situ],,,DL-20,89
,PC,PC39,Mote Looe Key [In Situ],,,PC-39,88
,OF,OF775,Mote Summerland,All Summerland,E5,R1126,87
,PC,PC12,Mote Looe Key [In Situ],,,PC-12,87
,AC,AC4,Mote Key Largo [In Situ],,,Blue15,85
,CN,CN7,Mote Looe Key [In Situ],,,CN-7,83
,AC,AC2508,Mote Looe Key [In Situ],,,CU-020,80
,AC,AC2501,Mote Looe Key [In Situ],,,CU-001,80
,MC,MC75,Mote Looe Key [In Situ],,,MC-74,80
,AC,AC2651,Mote Looe Key [In Situ],,,T-DT-1,80
,MC,MC75,Mote Looe Key [In Situ],,,MC-75,80
,AC,AC1,Mote Key Largo [In Situ],,,Red09,80
,AC,AC1,Mote Key Largo [In Situ],,,Blue09,80
,PC,PC16,Mote Summerland,All Summerland,D5,R1180,79
,ASTREOIDES,PA93,Mote Summerland,All Summerland,C6,R1384,79
