Name,Location,Date,Latitude,Longitude,Deliverable,Genotype,Survived,Outplanted,,,,,
Outplant 2025-05-28,EDR / EDR MIR Media ,5/27/25,,,,PS24,10,10,,,,,
Outplant 2025-05-28,EDR / EDR MIR Media ,5/27/25,,,,MC92,10,10,,,,,
Outplant 2025-05-28,EDR / EDR MIR Media ,5/27/25,,,,AC2603,15,15,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,CN7,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,DL285,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,MC127,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,MC62,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,OF977,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,OF980,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,OF983,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,OF990,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,PC19,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,PS33,10,10,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,AC3,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,AC31,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,AC34,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,AC58,20,20,,,,,
Outplant 2025-06-08,American Shoal  / BIL_Q_P004,6/7/25,24.52172,-81.5236,BIL Year 1,AC75,20,20,,,,,
