id,species,genotype,site,subsystem,tank,rack,qty,size
,PS,PS7,Mote Islamorada [In Situ],,,Red84,173,0
,PC,PC38,Mote Looe Key [In Situ],,,PC-38,168,0
,OA,OA9,Mote Looe Key [In Situ],,,OA-9,158,0
,MC,MC95,Mote Looe Key [In Situ],,,MC-94,112,0
,MC,MC95,Mote Looe Key [In Situ],,,MC-95,112,0
,OF,OF934,Mote Islamorada [In Situ],,,Red94,110,0
,OF,OF1008,Mote Islamorada [In Situ],,,Blue05,108,0
,AC,AC10,Mote Looe Key [In Situ],,,X,100,0
,AC,AC31,Mote Looe Key [In Situ],,,X,100,0
,AC,AC3,Mote Looe Key [In Situ],,,AC-3,100,0
,AC,AC10,Mote Sand Key [In Situ],,,10,100,0
,AC,AC5,Mote Islamorada [In Situ],,,Red24,100,0
,AC,AC5,Mote Islamorada [In Situ],,,Red34,100,0
,AC,AC20,Mote Key Largo [In Situ],,,Red03,100,0
,AC,AC3,Mote Key Largo [In Situ],,,Red04,100,0
,AC,AC76,Mote Key Largo [In Situ],,,Red05,100,0
,AC,AC20,Mote Key Largo [In Situ],,,Blue13,100,0
,AC,AC3,Mote Key Largo [In Situ],,,Blue14,100,0
,AC,AC76,Mote Key Largo [In Situ],,,Blue05,100,0
,AC,AC58,Mote Key Largo [In Situ],,,Blue17,100,0
,AC,AC58,Mote Key Largo [In Situ],,,Blue20,100,0
,AC,AC5,Mote Key Largo [In Situ],,,Blue10,100,0
,AC,AC62,Mote Key Largo [In Situ],,,Blue02,100,0
,AC,AC5,Mote Islamorada [In Situ],,,Red04,100,0
,AC,AC7,Mote Islamorada [In Situ],,,Red05,100,0
,AC,AC88,Mote Key Largo [In Situ],,,Blue23,100,0
,AC,AC2580,Mote Looe Key [In Situ],,,FM-18,100,0
,AC,AC2603,Mote Looe Key [In Situ],,,NB-4,100,0
,AC,AC2616,Mote Looe Key [In Situ],,,NB-5a,100,0
,AC,AC2603,Mote Looe Key [In Situ],,,NB-4,100,0
,AC,AC2627,Mote Looe Key [In Situ],,,RD-2,100,0
,AC,AC2627,Mote Looe Key [In Situ],,,RD-2,100,0
,AC,AC2638,Mote Looe Key [In Situ],,,RD-30,100,0
,AC,AC2635,Mote Looe Key [In Situ],,,RD-16,100,0
,AC,AC31,Mote Looe Key [In Situ],,,X,100,0
,AC,AC10,Mote Looe Key [In Situ],,,AC-10,100,0
,AC,AC51,Mote Looe Key [In Situ],,,AC-51,100,0
,AC,AC36,Mote Looe Key [In Situ],,,AC-36,100,0
,AC,AC34,Mote Looe Key [In Situ],,,AC-34,100,0
,AC,AC80,Mote Looe Key [In Situ],,,AC-80,100,0
,AC,AC84,Mote Looe Key [In Situ],,,AC-84,100,0
,AC,AC80,Mote Looe Key [In Situ],,,AC-80,100,0
,AC,AC75,Mote Looe Key [In Situ],,,AC-75,100,0
,AC,AC62,Mote Looe Key [In Situ],,,AC-62,100,0
,AC,AC58,Mote Looe Key [In Situ],,,AC-58,100,0
,AC,AC1962,Mote Looe Key [In Situ],,,AC-1962,100,0
,AC,AC1287,Mote Looe Key [In Situ],,,AC-1287,100,0
,AC,AC2627,Mote Sand Key [In Situ],,,RD-2,100,0
,AC,AC31,Mote Sand Key [In Situ],,,31,100,0
,AC,AC80,Mote Sand Key [In Situ],,,80,100,0
,AC,AC2603,Mote Sand Key [In Situ],,,NB-4,100,0
,AC,AC51,Mote Sand Key [In Situ],,,51,100,0
,AC,AC62,Mote Sand Key [In Situ],,,62,100,0
,PS,PS23,Mote Looe Key [In Situ],,,PS-23,96,0
,AC,AC8,Mote Key Largo [In Situ],,,Red01,95,0
