id,species,genotype,site,subsystem,tank,rack,qty,size
7021faac-faf6-410b-b60e-f1dedd70d17e,AC,AC1962,Mote Looe Key [In Situ],,AC-1962,R483,-20,0
abba80bd-ddad-4a78-a2a1-86af79a7e82d,AC,AC2627,Mote Looe Key [In Situ],,AC-2627,R207,-20,0
400de719-869c-42c7-91bb-0b1498cbec84,AC,AC2627,Mote Looe Key [In Situ],,AC-2627,R207,-20,0
a18a8283-c482-4d7c-add5-a971b2598f2a,AC,AC3,Mote Looe Key [In Situ],,AC-3,R308,-20,0.5
3508eb1a-3a1b-4c0a-8c21-76e210a000b5,AC,AC34,Mote Looe Key [In Situ],,AC-34,R333,-20,0
c3f3ea0e-ed50-4ccd-80bd-b42af059f6b1,AC,AC58,Mote Looe Key [In Situ],,AC-58,R385,-20,0
e9cbd820-53a6-4bf2-b817-8149a4ea880e,AC,AC31,Mote Looe Key [In Situ],,AC-31,R271,-20,0
639c2908-5ca0-4f67-98bd-0b54e102f3fb,AC,AC62,Mote Looe Key [In Situ],,AC-62,R383,-20,0
aded873c-d6d2-488e-8be0-d35694b1968a,AC,AC75,Mote Looe Key [In Situ],,AC-75,R381,-20,0
2295e7c6-f242-4e33-9b99-bd24dffcba31,AC,AC80,Mote Looe Key [In Situ],,AC-80,R351,-20,0
686dc0c4-e818-4edb-9206-69f1378b257f,AC,AC31,Mote Looe Key [In Situ],,AC-31,R271,-20,0
e912e407-dd51-4dab-8281-2813baee5039,AC,AC1287,Mote Looe Key [In Situ],,AC-1287,R484,-20,0
6b9e8581-df24-41e3-9cf1-4f783c4387c5,AC,AC3,Mote Looe Key [In Situ],,AC-3,R308,-20,0
b30cdb7c-0b37-4350-b6b0-8310ee707afa,AC,AC34,Mote Looe Key [In Situ],,AC-34,R333,-20,0
cc8df614-2ec6-48ef-b7e0-ff028164a89a,AC,AC75,Mote Looe Key [In Situ],,AC-75,R381,-20,0
6bb526d7-c68c-4624-9f3f-f20b53e17aaf,AC,AC58,Mote Looe Key [In Situ],,AC-58,R385,-20,0
8662af56-a701-40f0-ad02-271ed27de3b5,AC,AC62,Mote Looe Key [In Situ],,AC-62,R383,-20,0
7cedb6f9-4354-4df4-ada6-83e5eb160d85,AC,AC1962,Mote Looe Key [In Situ],,AC-1962,R483,-20,0
90ce6daa-8000-4474-83a7-f533a30da89d,CN,CN7,Mote Looe Key [In Situ],,CN-7/31,R363,-10,0
e4f4d83f-2a14-4b6c-9f20-8ca92e21a688,AC,AC3004,Mote Islamorada,,,R274,0,
d50ce450-2e5c-424d-a730-e09f9b222bc9,AC,AC3005,Mote Islamorada,,,R274,0,
2cef6f3b-1efb-49b3-a1f8-aeed326a1bd4,AC,AC3006,Mote Islamorada,,,R274,0,
b9377047-99e5-4edf-a545-4fbf7e075e4b,AC,AC3007,Mote Islamorada,,,R274,0,
a45fbe3b-5d3b-47fa-afdf-5ad293d6bd87,AC,AC3008,Mote Islamorada,,,R237,0,
a99ce038-9aff-4f50-8851-3a4229a10ded,AC,AC3010,Mote Islamorada,,,R237,0,
6a175421-0119-467a-8079-4e45097811a9,AC,AC3011,Mote Islamorada,,,R237,0,
165cc3ff-7604-471f-bbc6-a0483d545e23,AC,AC3012,Mote Islamorada,,,R237,0,
e220c3a7-20e6-4180-9b08-4f96a47866b9,AC,AC3009,Mote Islamorada,,,R237,0,
2bde3312-9cc9-4dfe-a571-13c9d35b0290,AC,AC3013,Mote Islamorada,,,R140,0,
1502a9eb-0a7b-4902-b6b2-2a268bcf7ef7,AC,AC3014,Mote Islamorada,,,R140,0,
d7e85c0d-5560-49dd-8d69-148b0c5bb052,AC,AC3015,Mote Islamorada,,,R140,0,
5489cccd-80b0-47fa-b06a-f1cdefc8af00,AC,AC3016,Mote Islamorada,,,R140,0,
78bdffc1-1793-4ac4-a2e5-cd8e8cc97a9b,AC,AC3017,Mote Islamorada,,,R283,0,
76f10279-b8c2-41f5-bdb6-976ce300a951,AC,AC3018,Mote Islamorada,,,R283,0,
6689dde0-e68d-4108-88b3-80b10d4ded93,AC,AC3019,Mote Islamorada,,,R283,0,
3e29d77a-eff9-4ce2-ba72-e5e08e49fc79,AC,AC3020,Mote Islamorada,,,R283,0,
a8a72e6a-a895-42d1-a46f-01c01d3eddd5,AC,AC3021,Mote Islamorada,,,R89,0,
60be0f01-2ddd-4246-8228-44eac6f7d978,AC,AC3022,Mote Islamorada,,,R89,0,
